rank_1y_performance,symbol,companyName,exchange,sector,industry,marketCap,as_of_date,latest_price,return_1d_pct,return_5d_pct,return_1m_pct,return_3m_pct,return_6m_pct,return_1y_pct,ytd_return_pct,one_year_high,drawdown_from_1y_high_pct,observations
142,EMR,Emerson Electric,US,Industrials,Electrical Components & Equipment,77361009265.0,2026-06-05,138.12,-2.77,-3.96,-6.29,0.23,3.2,15.42,2.5,160.4227,-13.9,288
143,BDX,Becton Dickinson,US,Health Care,Health Care Equipment,41650691954.0,2026-06-05,151.16,1.07,2.75,4.42,-8.97,0.51,15.12,-0.74,184.2135,-17.94,288
144,O,Realty Income,US,Real Estate,Retail REITs,56732845667.0,2026-06-05,60.84,1.82,-0.72,-4.53,-5.16,7.54,14.87,8.48,66.6784,-8.76,288
145,KO,Coca-Cola Company (The),US,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,341961317026.0,2026-06-05,79.48,3.46,0.59,0.32,3.88,13.02,14.59,15.78,81.92,-2.98,288
146,HOOD,Robinhood Markets,US,Financials,Investment Banking & Brokerage,74264653150.0,2026-06-05,82.47,-6.63,-12.55,4.33,6.98,-38.29,14.11,-28.42,152.46,-45.91,288
147,TRV,Travelers Companies (The),US,Financials,Property & Casualty Insurance,64484503152.0,2026-06-05,303.25,3.35,3.89,0.55,-0.64,7.49,13.31,6.72,310.8979,-2.46,288
148,PEP,PepsiCo,US,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,193996259392.0,2026-06-05,141.92,0.89,-0.54,-8.04,-10.05,-1.32,13.22,1.73,167.221,-15.13,288
149,NOC,Northrop Grumman,US,Industrials,Aerospace & Defense,77323027802.0,2026-06-05,544.4,-0.14,-3.0,-2.29,-27.68,-0.86,12.55,-6.34,764.6547,-28.8,288
150,CB,Chubb Limited,US,Financials,Property & Casualty Insurance,126547112523.0,2026-06-05,326.27,3.74,4.66,1.36,-0.23,10.91,12.53,5.54,341.7512,-4.53,288
151,VZ,Verizon,US,Communication Services,Integrated Telecommunication Services,189445103287.0,2026-06-05,45.37,1.11,-5.1,-4.36,-9.91,15.2,12.0,15.63,50.6187,-10.37,288
152,ELV,Elevance Health,US,Health Care,Managed Health Care,90237483496.0,2026-06-05,415.53,1.49,5.68,10.89,44.35,27.06,11.66,18.02,415.53,0.0,288
153,LMT,Lockheed Martin,US,Industrials,Aerospace & Defense,120759997578.0,2026-06-05,523.76,0.91,-0.61,2.51,-21.52,18.61,11.55,6.62,672.2988,-22.09,288
154,WFC,Wells Fargo,US,Financials,Diversified Banks,250751934610.0,2026-06-05,81.94,0.39,5.67,2.47,2.47,-7.32,11.09,-13.01,95.3733,-14.08,288
155,SBUX,Starbucks,US,Consumer Discretionary,Restaurants,108602014043.0,2026-06-05,95.29,1.22,-3.9,-9.95,-3.17,10.74,11.0,14.88,106.82,-10.79,288
156,EXC,Exelon,US,Utilities,Electric Utilities,46811772496.0,2026-06-05,45.75,2.51,1.18,2.58,-6.44,4.57,10.88,6.05,49.8215,-8.17,288
157,DUK,Duke Energy,US,Utilities,Electric Utilities,96841443027.0,2026-06-05,124.22,1.97,1.21,-0.2,-5.44,6.53,10.85,7.6,132.3166,-6.12,288
158,MET,MetLife,US,Financials,Life & Health Insurance,54363972083.0,2026-06-05,84.49,1.23,2.18,6.21,18.53,10.63,10.43,6.76,84.49,0.0,288
159,EW,Edwards Lifesciences,US,Health Care,Health Care Equipment,49495767473.0,2026-06-05,85.96,-1.7,-0.59,3.32,5.29,2.36,10.42,0.74,88.16,-2.5,288
160,MSCI,MSCI Inc.,US,Financials,Financial Exchanges & Data,44760925370.0,2026-06-05,615.46,-0.55,-2.52,6.11,8.51,13.67,10.08,9.71,643.83,-4.41,288
161,IBM,IBM,US,Information Technology,IT Consulting & Other Services,267716919713.0,2026-06-05,284.84,-5.61,-4.35,27.11,10.85,-4.64,10.02,-1.0,329.23,-13.48,288
162,MCK,McKesson Corporation,US,Health Care,Health Care Distributors,93237470971.0,2026-06-05,775.66,2.47,4.59,4.42,-15.53,-3.5,9.78,-5.62,994.5903,-22.01,288
163,ALL,Allstate,US,Financials,Property & Casualty Insurance,56892598325.0,2026-06-05,221.01,4.82,7.8,1.95,4.64,7.04,9.55,9.56,223.4031,-1.07,288
164,DLR,Digital Realty,US,Real Estate,Data Center REITs,65639137456.0,2026-06-05,186.79,-1.01,-1.69,-6.46,6.74,18.71,9.23,21.31,203.91,-8.4,288
165,CTVA,Corteva,US,Materials,Fertilizers & Agricultural Chemicals,51519203784.0,2026-06-05,77.03,-0.56,-1.37,-5.58,0.32,18.5,8.96,14.2,85.2635,-9.66,288
166,LIN,Linde plc,US,Materials,Industrial Gases,234826195927.0,2026-06-05,507.9,0.09,2.37,1.52,5.46,24.95,8.65,19.13,515.9485,-1.56,288
167,SO,Southern Company,US,Utilities,Electric Utilities,104388079955.0,2026-06-05,92.6,1.07,0.6,-0.15,-4.22,6.96,8.31,7.94,98.2961,-5.79,288
168,RCL,Royal Caribbean Group,US,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",75094593840.0,2026-06-05,280.0,-4.53,-1.12,-1.96,1.21,6.83,7.21,-0.11,359.6902,-22.16,288
169,IDXX,Idexx Laboratories,US,Health Care,Health Care Equipment,44344863475.0,2026-06-05,562.16,-0.46,-0.24,-2.95,-7.6,-22.56,7.11,-16.09,766.68,-26.68,288
170,YUM,Yum! Brands,US,Consumer Discretionary,Restaurants,41582969400.0,2026-06-05,150.87,1.88,1.97,-2.83,-5.24,2.55,6.78,1.21,167.3411,-9.84,288
171,MMM,3M,US,Industrials,Industrial Conglomerates,80196179186.0,2026-06-05,153.76,0.65,0.41,5.47,0.75,-10.31,6.69,-4.06,172.9356,-11.09,288
172,TT,Trane Technologies,US,Industrials,Building Products,100986983303.0,2026-06-05,456.84,-1.27,1.46,-6.21,8.21,12.2,6.57,15.32,491.4249,-7.04,288
173,PSA,Public Storage,US,Real Estate,Self-Storage REITs,54363005955.0,2026-06-05,309.68,0.98,1.97,0.23,1.53,13.67,6.43,21.05,312.17,-0.8,288
174,AXP,American Express,US,Financials,Consumer Finance,211971535281.0,2026-06-05,310.66,-0.6,-1.84,-3.49,3.54,-15.16,6.08,-16.39,382.8266,-18.85,288
175,NDAQ,"Nasdaq, Inc.",US,Financials,Financial Exchanges & Data,49360400159.0,2026-06-05,87.28,-1.32,-5.66,-2.15,-0.99,-0.57,5.33,-9.42,100.6612,-13.29,288
176,ITW,Illinois Tool Works,US,Industrials,Industrial Machinery & Supplies & Components,72707544351.0,2026-06-05,252.72,0.64,2.2,-2.99,-8.24,2.37,5.11,1.93,297.7172,-15.11,288
